module,gene,hub_rank,hub_score,module_size
Module_13,203698_s_at,1,1.2327020284456371,20
Module_13,203697_at,2,1.1617320838946148,20
Module_13,210068_s_at,3,0.8234369045152304,20
Module_13,220164_s_at,4,0.8030445145074019,20
Module_13,206102_at,5,0.752083420407601,20
Module_13,203824_at,6,0.7250519859751772,20
Module_13,207349_s_at,7,0.724918763320368,20
Module_13,209723_at,8,0.7050568395760008,20
Module_13,208078_s_at,9,0.7040069484986616,20
Module_13,220504_at,10,0.6974320570700615,20
Module_2,202404_s_at,1,11.847687954261932,40
Module_2,34471_at,2,11.26849508982438,40
Module_2,202311_s_at,3,11.160431139967045,40
Module_2,212489_at,4,11.004157491086373,40
Module_2,206717_at,5,10.887574729754068,40
Module_2,221730_at,6,10.67993539501448,40
Module_2,211161_s_at,7,10.416735702406914,40
Module_2,202310_s_at,8,10.272391795289609,40
Module_2,202016_at,9,10.19984273907335,40
Module_2,215389_s_at,10,10.156787588889317,40
Module_1,203649_s_at,1,5.872225678523951,57
Module_1,209875_s_at,2,5.634694508266784,57
Module_1,202902_s_at,3,5.572693291679325,57
Module_1,202503_s_at,4,5.210010876523075,57
Module_1,212992_at,5,5.0142613719773435,57
Module_1,202237_at,6,4.6272080963101985,57
Module_1,208534_s_at,7,4.612759118881844,57
Module_1,220952_s_at,8,4.606374789247207,57
Module_1,203725_at,9,4.560918331295254,57
Module_1,202238_s_at,10,4.552951356019449,57
Module_12,219140_s_at,1,3.5511854324268315,10
Module_12,200832_s_at,2,3.3012374843163412,10
Module_12,205913_at,3,3.102410958818154,10
Module_12,200831_s_at,4,3.069657096064458,10
Module_12,211162_x_at,5,2.9835279843052507,10
Module_12,211708_s_at,6,2.9169653588289624,10
Module_12,207175_at,7,2.8687852938862997,10
Module_12,203680_at,8,2.626311542670149,10
Module_12,203400_s_at,9,2.4661945053397547,10
Module_12,212218_s_at,10,1.9377793391915765,10
Module_14,209480_at,1,1.2636321632233125,28
Module_14,213831_at,2,1.2194199789193139,28
Module_14,203290_at,3,0.7068542402668068,28
Module_14,204607_at,4,0.504998160914827,28
Module_14,205048_s_at,5,0.4560007481915052,28
Module_14,201473_at,6,0.41940659699580984,28
Module_14,220010_at,7,0.39715484491545205,28
Module_14,211169_s_at,8,0.38517210897262555,28
Module_14,207574_s_at,9,0.3365387999854601,28
Module_14,203946_s_at,10,0.31172666194029774,28
Module_3,204620_s_at,1,8.619045670807479,18
Module_3,221731_x_at,2,8.558030728306461,18
Module_3,207808_s_at,3,8.34518156158669,18
Module_3,201743_at,4,8.262110832528565,18
Module_3,204112_s_at,5,8.194087335509197,18
Module_3,204438_at,6,8.001852641510107,18
Module_3,205381_at,7,7.798200840468281,18
Module_3,204955_at,8,7.574245894804284,18
Module_3,213566_at,9,7.548641083380632,18
Module_3,206584_at,10,7.509459890192749,18
