gene,module
206102_at,Module_13
222288_at,Module_2
207349_s_at,Module_13
211571_s_at,Module_2
221796_at,Module_1
219140_s_at,Module_12
203645_s_at,Module_2
211273_s_at,Module_1
204415_at,Module_13
212998_x_at,Module_1
204256_at,Module_14
209596_at,Module_2
202016_at,Module_2
210684_s_at,Module_13
218232_at,Module_2
202350_s_at,Module_1
220065_at,Module_14
204955_at,Module_3
220504_at,Module_13
201909_at,Module_10
205940_at,Module_2
202503_s_at,Module_1
204285_s_at,Module_13
214218_s_at,Module_9
204409_s_at,Module_11
202284_s_at,Module_1
205145_s_at,Module_2
211162_x_at,Module_12
205960_at,Module_14
217022_s_at,Module_14
213515_x_at,Module_4
213975_s_at,Module_1
213905_x_at,Module_2
202404_s_at,Module_2
210809_s_at,Module_1
202310_s_at,Module_2
206304_at,Module_1
212067_s_at,Module_2
208719_s_at,Module_17
206717_at,Module_2
203382_s_at,Module_1
217767_at,Module_1
206633_at,Module_2
202237_at,Module_1
204438_at,Module_3
204638_at,Module_1
204848_x_at,Module_6
213831_at,Module_14
208567_s_at,Module_1
211161_s_at,Module_2
213800_at,Module_2
214041_x_at,Module_13
207808_s_at,Module_3
209540_at,Module_1
219908_at,Module_13
211430_s_at,Module_14
211708_s_at,Module_12
204026_s_at,Module_1
211564_s_at,Module_1
209823_x_at,Module_1
203649_s_at,Module_1
201721_s_at,Module_3
212865_s_at,Module_2
201720_s_at,Module_2
209875_s_at,Module_1
214677_x_at,Module_15
209167_at,Module_1
205000_at,Module_7
204439_at,Module_1
202388_at,Module_1
200831_s_at,Module_12
211751_at,Module_14
206891_at,Module_14
205048_s_at,Module_14
AFFX-HUMRGE/M10098_3_at,Module_18
219666_at,Module_2
204051_s_at,Module_1
201473_at,Module_14
212671_s_at,Module_1
203290_at,Module_14
203946_s_at,Module_14
204620_s_at,Module_3
220952_s_at,Module_1
212670_at,Module_2
204036_at,Module_2
207002_s_at,Module_2
202965_s_at,Module_1
216971_s_at,Module_1
204112_s_at,Module_3
215495_s_at,Module_1
205848_at,Module_13
AFFX-HUMRGE/M10098_5_at,Module_19
212488_at,Module_3
209610_s_at,Module_13
211039_at,Module_1
208151_x_at,Module_16
202311_s_at,Module_2
AFFX-HUMRGE/M10098_M_at,Module_20
210794_s_at,Module_1
205713_s_at,Module_14
212489_at,Module_2
211864_s_at,Module_2
209979_at,Module_14
204607_at,Module_14
220794_at,Module_14
208534_s_at,Module_1
206710_s_at,Module_2
201743_at,Module_3
204560_at,Module_1
202437_s_at,Module_1
209723_at,Module_13
203868_s_at,Module_3
203824_at,Module_13
209301_at,Module_1
221728_x_at,Module_8
210095_s_at,Module_1
200832_s_at,Module_12
217430_x_at,Module_1
203698_s_at,Module_13
204170_s_at,Module_13
203400_s_at,Module_12
221729_at,Module_3
220010_at,Module_14
212143_s_at,Module_1
209396_s_at,Module_1
212588_at,Module_2
210068_s_at,Module_13
214453_s_at,Module_1
215049_x_at,Module_2
205399_at,Module_3
204268_at,Module_1
209040_s_at,Module_1
203815_at,Module_14
207175_at,Module_12
207173_x_at,Module_2
209480_at,Module_14
208148_at,Module_14
213791_at,Module_2
206584_at,Module_3
203697_at,Module_13
201110_s_at,Module_1
34471_at,Module_2
211737_x_at,Module_1
209189_at,Module_14
202966_at,Module_1
203725_at,Module_1
201123_s_at,Module_14
211169_s_at,Module_14
205913_at,Module_12
212218_s_at,Module_12
207574_s_at,Module_14
37892_at,Module_14
204388_s_at,Module_14
204416_x_at,Module_1
208078_s_at,Module_13
213068_at,Module_1
209395_at,Module_1
209542_x_at,Module_13
202238_s_at,Module_1
202902_s_at,Module_1
202855_s_at,Module_14
220164_s_at,Module_13
201798_s_at,Module_3
203680_at,Module_12
202917_s_at,Module_14
204122_at,Module_2
217097_s_at,Module_1
205381_at,Module_3
201645_at,Module_1
221731_x_at,Module_3
204834_at,Module_2
218730_s_at,Module_2
212992_at,Module_1
215646_s_at,Module_3
202803_s_at,Module_2
214110_s_at,Module_2
204114_at,Module_2
202953_at,Module_1
221872_at,Module_13
219607_s_at,Module_2
204419_x_at,Module_5
213566_at,Module_3
221730_at,Module_2
215389_s_at,Module_2
220532_s_at,Module_3
204913_s_at,Module_1
205336_at,Module_1
